Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
RETIRO,40.4033514,-3.67287751,URBANISMO,"10708973,69",2023,Adelfas,442902.53951369814,4472744.161186309
CENTRO,40.414908,-3.7171685,MANTENIMIENTO URBANO,"1974058,14",2023,Palacio,439154.57682552474,4474056.489682306
CIUDAD LINEAL,40.4350189,-3.6486273,URBANISMO,"7164973,74",2023,Quintana,444986.1233412119,4476243.853381909
MONCLOA-ARAVACA,40.4243759,-3.7137565,MANTENIMIENTO URBANO,2289485,2023,Argüelles,439452.5463472394,4475105.079902025
FUENCARRAL-EL PARDO,40.48317,-3.70454099,URBANISMO,"11595883,32",2023,La Paz,440286.3690393101,4481624.967729016
BARAJAS,40.472061,-3.5842523,MANTENIMIENTO URBANO,3000000,2023,Timón,450473.38052645355,4480317.419511865
MORATALAZ,40.4,-3.62810027,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"1957566,38",2023,Pavones,446699.5237302762,4472344.197435295
SALAMANCA,40.43858,-3.666769,CULTURA,"10768682,55",2023,Guindalera,443450.39233265107,4476650.591281457
LATINA,40.40286,-3.7515003,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"13060905,34",2023,Lucero,436230.4288604652,4472743.370349808
BARAJAS,40.47899,-3.596845,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","3556769,44",2023,Timón,449411.10178315494,4481093.682528933
TETUÁN,40.46343,-3.70721,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","3090472,26",2023,Berruguete,440042.59818744066,4479435.623872879
VILLAVERDE,40.345768,-3.693884,INFRAESTRUCTURAS,"1191559,8",2023,Ángeles,441069.86095026764,4466366.256910516
VILLAVERDE,40.345904,-3.6934598,MANTENIMIENTO URBANO,"1207963,8",2023,Ángeles,441106.005960993,4466381.070275971
PUENTE DE VALLECAS,40.38901,-3.664102,EDUCACIÓN,"2963382,46",2023,Palomeras Bajas,443635.2384359748,4471146.647811181
VILLA DE VALLECAS,40.364956,-3.640114,SECTORES PRODUCTIVOS,"6780343,82",2023,Casco Histórico de Vallecas,445651.8771187989,4468461.671929082
RETIRO,40.40279,-3.6724092,EDUCACIÓN,"2967039,67",2023,Adelfas,442941.804529906,4472681.543827748
LATINA,40.38418,-3.77866128,PROTECCIÓN Y PROMOCIÓN SOCIAL,"4549730,78",2023,Águilas,433907.3627031938,4470689.849799292
CIUDAD LINEAL,40.4372662,-3.6484385,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1108071,02",2023,Concepción,445003.9678382487,4476493.185559522
CHAMARTÍN,40.44593,-3.6789682,MANTENIMIENTO URBANO,"4628306,31",2023,El Viso,442422.02522373834,4477474.322736409
CHAMBERÍ,40.4327769,-3.7054483,URBANISMO,"5508238,54",2023,Arapiles,440164.77687010507,4476031.929022336
USERA,40.3755929,-3.7124488,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","8677045,03",2023,Zofío,439519.8372416839,4469689.3055722825
HORTALEZA,40.4787274,-3.6527117,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2072837,25",2023,Apóstol Santiago,444675.56388636964,4481098.055639431
SAN BLAS-CANILLEJAS,40.4316155,-3.6042837,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","12067354,68",2023,Rosas,448744.60262189765,4475839.405080879
USERA,40.365188,-3.691691,EDUCACIÓN,"3954216,01",2023,San Fermín,441272.9607758306,4468520.38740531
CENTRO,40.411727,-3.70678,PROTECCIÓN Y PROMOCIÓN SOCIAL,"1170522,61",2023,Embajadores,440033.1328649278,4473696.299232211
VICÁLVARO,40.39933,-3.61715501,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"6032861,21",2023,Valdebernardo,447627.82320616103,4472263.286158007
HORTALEZA,40.4787274,-3.6527117,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1366239,62",2023,Apóstol Santiago,444675.56388636964,4481098.055639431
CIUDAD LINEAL,40.43748,-3.6506546,MANTENIMIENTO URBANO,"1530750,83",2023,Concepción,444816.1872006959,4476518.299441381
HORTALEZA,40.46398,-3.6325963,CULTURA,"4499045,55",2023,Canillas,446368.84321558184,4479448.6735772565
VICÁLVARO,40.40618,-3.55433462,CULTURA,"5981647,73",2023,El Cañaveral,452963.59915600443,4472988.304804912
SALAMANCA,40.4273605,-3.6858071,INVERSIONES DE CARÁCTER GENERAL,"1452262,93",2023,Recoletos,441826.06414396135,4475417.591302797
LATINA,40.4011395,-3.7451803,EDUCACIÓN,"4301894,45",2023,Lucero,436765.115951597,4472547.855426472
USERA,40.37172,-3.7191775,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","996306,89",2023,Orcasitas,438945.13388588326,4469264.041286315
USERA,40.38791,-3.70469,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",1000000,2023,Moscardó,440189.3861556093,4471051.213575794
HORTALEZA,40.457908,-3.6199757,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","609127,72",2023,Piovera,447434.08445532713,4478767.090402169
VILLA DE VALLECAS,40.3616249,-3.664242,SECTORES PRODUCTIVOS,"9087832,64",2023,Casco Histórico de Vallecas,443600.5268350453,4468107.027866349
VILLA DE VALLECAS,40.3585575,-3.6675801,SECTORES PRODUCTIVOS,"20636246,22",2023,Casco Histórico de Vallecas,443314.5241448725,4467768.684876375
VILLA DE VALLECAS,40.36557,-3.668069,SECTORES PRODUCTIVOS,"30236015,32",2023,Entrevías,443278.88836676825,4468547.374616354
SALAMANCA,40.424681,-3.6899877,CULTURA,"3354333,62",2023,Recoletos,441469.11711955187,4475122.928723691
RETIRO,40.40165,-3.677299,CULTURA,1540000,2023,Pacífico,442525.9012254495,4472558.17258974
ARGANZUELA,40.39176,-3.696381,CULTURA,1333653,2023,Chopera,440897.98461670376,4471472.972517497
MONCLOA-ARAVACA,40.414466,-3.7401438,INVERSIONES DE CARÁCTER GENERAL,1100000,2023,Casa de Campo,437204.8970587828,4474023.500318177
MONCLOA-ARAVACA,40.4144661,-3.7401438,INVERSIONES DE CARÁCTER GENERAL,1000000,2023,Casa de Campo,437204.8971517487,4474023.511418145
USERA,40.368955,-3.6842359,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",21054000,2023,San Fermín,441909.1646542478,4468933.596451947
CIUDAD LINEAL,40.4254386,-3.6490277,SALUD PÚBLICA,"5327902,13",2023,Ventas,444944.3504414784,4475180.6929567335
CIUDAD LINEAL,40.4401633,-3.6598874,SALUD PÚBLICA,4776243,2023,Guindalera,444035.347564471,4476821.954356831
