Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
CENTRO,40.4120708,-3.7132821,CULTURA,"3.750.000,00",2020,Palacio,439481.7645163461,4473738.893090663
VICÁLVARO,40.38058555358565,-3.5665939694949285,MEDIO AMBIENTE,"12.311.393,15",2020,Casco Histórico de Vicálvaro,451905.1570344738,4470153.9514088705
MONCLOA-ARAVACA,40.4191125,-3.7256439,CULTURA,"2.200.000,00",2020,Casa de Campo,438439.34006388584,4474529.057840594
FUENCARRAL-EL PARDO,40.5055069,-3.6980938,CULTURA,"5.250.000,00",2020,El Goloso,440852.42542399466,4484100.044218374
FUENCARRAL-EL PARDO,40.50394934161543,-3.6782276991385294,CULTURA,"5.450.000,00",2020,Valverde,442534.30902174255,4483914.021737013
FUENCARRAL-EL PARDO,40.49453394197189,-3.706395285041539,PROTECCIÓN Y PROMOCIÓN SOCIAL,"3.350.000,00",2020,Mirasierra,440139.3046203954,4482887.632639942
PUENTE DE VALLECAS,40.3887019,-3.6555218,INVERSIONES DE CARÁCTER GENERAL,"6.800.000,00",2020,Palomeras Bajas,444363.22299361357,4471107.014705686
PUENTE DE VALLECAS,40.3887019,-3.6555218,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"5.850.000,00",2020,Palomeras Bajas,444363.22299361357,4471107.014705686
VILLA DE VALLECAS,40.37928922449757,-3.6150449923781593,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"4.550.000,00",2020,Casco Histórico de Vallecas,447791.40810962673,4470037.537288216
CIUDAD LINEAL,40.41483344395967,-3.6269933408281863,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"4.550.000,00",2020,Pueblo Nuevo,446805.1380927655,4473990.0299829515
VICÁLVARO,40.39905,-3.562304,EDUCACIÓN,"3.050.000,00",2020,El Cañaveral,452282.3434222596,4472201.154584121
MONCLOA-ARAVACA,40.4583621,-3.7176174,INVERSIONES DE CARÁCTER GENERAL,"3.500.000,00",2020,Ciudad Universitaria,439155.6770704879,4478880.204747611
FUENCARRAL-EL PARDO - CHAMARTÍN,40.4833757449582,-3.681394083115272,INFRAESTRUCTURAS,"63.000.000,00",2020,Valverde,442248.38496905507,4481632.4002796225
VILLAVERDE,40.35706418,-3.70204189,URBANISMO,"11.500.000,00",2020,Ángeles,440386.97042960353,4467625.578465321
ARGANZUELA,40.40091796,-3.72018992,INFRAESTRUCTURAS,"61.000.000,00",2020,Imperial,438885.5802317771,4472505.687171517
BARAJAS,40.47234488,-3.57624752,URBANISMO,"2.350.093,00",2020,Casco Histórico de Barajas,451152.1489775117,4480344.4696436
CARABANCHEL,40.3616093,-3.7560156,CULTURA,"4.650.000,00",2020,Buenavista,435808.1279287273,4468167.84533169
VICÁLVARO,40.377746,-3.563952,MEDIO AMBIENTE,"1.613.487,25",2020,Casco Histórico de Vicálvaro,452127.40965015156,4469837.332071369
PUENTE DE VALLECAS,40.375811,-3.66864,PROTECCIÓN Y PROMOCIÓN SOCIAL,"1.901.228,42",2020,Entrevías,443239.00132731756,4469684.47736475
ARGANZUELA,40.391115,-3.695416,INVERSIONES DE CARÁCTER GENERAL,"5.762.888,95",2020,Chopera,440979.32192090835,4471400.733480478
MONCLOA-ARAVACA,40.45883,-3.785569,PROTECCIÓN Y PROMOCIÓN SOCIAL,"4.578.249,12",2020,Aravaca,433394.70032159303,4478981.186548976
VILLAVERDE,40.33064,-3.715899,SECTORES PRODUCTIVOS,"5.450.844,20",2020,"Villaverde Alto, Casco Histórico de Villaverde",439186.5749504493,4464701.969427144
LATINA,40.381304,-3.764865,PROTECCIÓN Y PROMOCIÓN SOCIAL,"3.009.760,01",2020,Águilas,435075.6388207017,4470360.3956111
MORATALAZ,40.412007,-3.658037,EDUCACIÓN,"3.684.370,34",2020,Media Legua,444169.0027448094,4473695.445666098
VILLAVERDE,40.355326,-3.703866,EDUCACIÓN,"1.427.859,38",2020,Ángeles,440230.5422341663,4467433.873839766
HORTALEZA,40.469013,-3.641922,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"4.645.587,48",2020,Canillas,445582.27272590937,4480013.045158603
MONCLOA-ARAVACA,40.429685,-3.729507,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"2.199.552,56",2020,Casa de Campo,438121.2971493496,4475705.302084713
