Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
USERA,40.37021993373859,-3.699468900607744,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1100000,00",2024,Orcasur,440617.0004698707,4469084.117785883
VILLAVERDE,40.35634193991933,-3.686595141820635,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1420000,00",2024,Los Rosales,441698.0004609855,4467535.117821319
PUENTE DE VALLECAS,40.39165329987117,-3.659737756973531,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","5150000,00",2024,Palomeras Bajas,444007.8396313792,4471437.278279306
SALAMANCA,40.424236393438974,-3.670464456991102,INVERSIONES DE CARÁCTER GENERAL,"1400000,00",2024,Goya,443124.88980635826,4475060.827128438
CARABANCHEL,40.380583,-3.741028,MANTENIMIENTO URBANO,"1900000,00",2024,Puerta Bonita,437098.35306865,4470263.137327574
MONCLOA-ARAVACA,40.423778,-3.727389,MANTENIMIENTO URBANO,"1000000,00",2024,Casa de Campo,438295.554820988,4475048.1444995925
PUENTE DE VALLECAS,40.39370459675269,-3.65794511309635,URBANISMO,"1600000,00",2024,Numancia,444161.67742498923,4471663.836363892
CENTRO,40.411993428490256,-3.696014243112221,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","30343609,90",2024,Cortes,440946.79553296906,4473718.623317758
VILLAVERDE,40.3512974,-3.6816647,CULTURA,"8916025,11",2024,Butarque,442112.3568372549,4466971.945180067
VILLA DE VALLECAS,40.36707456785566,-3.616420445225904,CULTURA,"7354554,47",2024,Ensanche de Vallecas,447665.20194958366,4468682.542323173
FUENCARRAL-EL PARDO,40.5055069,-3.6980938,CULTURA,"5511255,18",2024,El Goloso,440852.42542399466,4484100.044218374
FUENCARRAL-EL PARDO,40.50552643871711,-3.662130317447807,CULTURA,"2510528,66",2024,Valverde,443899.55110239855,4484078.718888404
CARABANCHEL,40.3616093,-3.7560156,CULTURA,"7095864,45",2024,Buenavista,435808.1279287273,4468167.84533169
CHAMARTÍN,40.4829999,-3.6774787,CULTURA,"4682616,04",2024,Castilla,442579.91580149723,4481588.126231595
VILLA DE VALLECAS,40.36931148352711,-3.633227554724137,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"5007317,40",2024,Casco Histórico de Vallecas,446240.027279954,4468940.915543809
TETUÁN,40.46591,-3.708061,EDUCACIÓN,"2460315,19",2024,Valdeacederas,439972.6575454326,4479711.483449205
PUENTE DE VALLECAS - VILLA DE VALLECAS,40.37410474,-3.65135769,INFRAESTRUCTURAS,"2706074,91",2024,Casco Histórico de Vallecas,444704.71611575095,4469484.136706469
HORTALEZA,40.4923517,-3.6105398,CULTURA,"9814152,30",2024,Valdefuentes,448260.5778875878,4482584.778758416
VILLA DE VALLECAS,40.36130898199516,-3.593887877949816,PROTECCIÓN Y PROMOCIÓN SOCIAL,"8967358,07",2024,Ensanche de Vallecas,449573.95769353246,4468029.485439484
ARGANZUELA,40.391065,-3.6976967,INVERSIONES DE CARÁCTER GENERAL,"23244594,55",2024,Chopera,440785.71119648026,4471396.708500956
RETIRO,40.4042354,-3.6858061,PROTECCIÓN Y PROMOCIÓN SOCIAL,"2841680,38",2024,Pacífico,441806.22846912144,4472850.716079466
RETIRO,40.405725834574056,-3.671341658718436,INVERSIONES DE CARÁCTER GENERAL,"9351187,17",2024,Pacífico,443034.8679270907,4473006.730645051
SAN BLAS-CANILLEJAS,40.4230284,-3.621095,CULTURA,"2797137,40",2024,Arcos,447311.9571073063,4474896.13085352
VILLA DE VALLECAS,40.382947591900496,-3.6024611317314394,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","3604556,52",2024,Santa Eugenia,448862.37217671727,4470436.257876674
PUENTE DE VALLECAS,40.37787388790656,-3.6738970028962754,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1381892,23",2024,Entrevías,442794.47459108423,4469916.842411824
VILLA DE VALLECAS,40.36126153,-3.62726055,INFRAESTRUCTURAS,"5263010,00",2024,Casco Histórico de Vallecas,446740.2836775822,4468043.7746685995
VILLAVERDE - USERA,40.36455103,-3.69869538,INFRAESTRUCTURAS,"7291445,00",2024,Orcasur,440677.7006517388,4468454.358206144
MONCLOA-ARAVACA,40.4243759,-3.7137565,MANTENIMIENTO URBANO,"2287509,47",2024,Argüelles,439452.5463472394,4475105.079902025
BARAJAS,40.472061,-3.5842523,MANTENIMIENTO URBANO,"3200000,00",2024,Timón,450473.38052645355,4480317.419511865
MORATALAZ,40.40000939236909,-3.62810027406011,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"5511597,79",2024,Pavones,446699.5307932637,4472345.239981259
SALAMANCA,40.43858779152413,-3.666769831729441,CULTURA,"10770143,45",2024,Guindalera,443450.32832055714,4476651.456672065
LATINA,40.40286845108914,-3.751500302895357,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"16728656,23",2024,Lucero,436230.4365900596,4472744.308418687
BARAJAS,40.47899049638749,-3.596845384536784,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","3556768,96",2024,Timón,449411.06956204,4481093.737848556
TETUÁN,40.46343190472349,-3.707210067184557,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","3055004,25",2024,Valdeacederas,440042.59418512735,4479435.835343742
PUENTE DE VALLECAS,40.38901771292814,-3.664102470612631,EDUCACIÓN,"5343042,60",2024,Palomeras Bajas,443635.20492331724,4471147.50423782
VILLA DE VALLECAS,40.364956,-3.640114,SECTORES PRODUCTIVOS,"9259827,72",2024,Casco Histórico de Vallecas,445651.8771187989,4468461.671929082
RETIRO,40.40279966157042,-3.672409245224632,EDUCACIÓN,"2967039,67",2024,Adelfas,442941.80885019037,4472682.616283573
LATINA,40.38418397,-3.77866128,PROTECCIÓN Y PROMOCIÓN SOCIAL,"7950785,44",2024,Águilas,433907.3665836068,4470690.290466414
CIUDAD LINEAL,40.4372662,-3.6484385,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1106155,40",2024,Concepción,445003.9678382487,4476493.185559522
