Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM,anyo_timestamp
VICÁLVARO,40.3732035482546,-3.55994623993237,MEDIO AMBIENTE,3649768.77,2021,Casco Histórico de Vicálvaro,452464.25906007807,4469330.9670170015,2021-01-01
VICÁLVARO,40.4002565,-3.5605078,VIVIENDA,14371516.21,2021,El Cañaveral,452435.6205894397,4472334.106585593,2021-01-01
VICÁLVARO,40.4006641,-3.5614487,VIVIENDA,13779959.87,2021,El Cañaveral,452356.0632774483,4472379.856378692,2021-01-01
VICÁLVARO,40.4014654,-3.5614492,VIVIENDA,12968982.36,2021,El Cañaveral,452356.5857588311,4472468.799983849,2021-01-01
VICÁLVARO,40.405514,-3.5615997,VIVIENDA,14371516.19,2021,El Cañaveral,452346.66971867456,4472918.271026585,2021-01-01
VICÁLVARO,40.4010441,-3.5618687,VIVIENDA,7420301.26,2021,El Cañaveral,452320.69043756695,4472422.262371344,2021-01-01
VICÁLVARO,40.4007041,-3.5621687,VIVIENDA,7420301.26,2021,El Cañaveral,452294.99276486697,4472384.68463575,2021-01-01
VICÁLVARO,40.3879964,-3.56225647,URBANISMO,9592141.18,2021,Casco Histórico de Vicálvaro,452278.5741831341,4470974.194194199,2021-01-01
VICÁLVARO,40.39905,-3.562304,EDUCACIÓN,2160540.12,2021,El Cañaveral,452282.3434222596,4472201.154584121,2021-01-01
VICÁLVARO,40.4054441,-3.5638987,VIVIENDA,14971543.41,2021,El Cañaveral,452151.5425198518,4472911.754195165,2021-01-01
VICÁLVARO,40.4048787,-3.5647897,VIVIENDA,14978398.06,2021,El Cañaveral,452075.5371531758,4472849.478135537,2021-01-01
VILLA DE VALLECAS,40.33756827,-3.5755459,MEDIO AMBIENTE,6146383.0,2021,Casco Histórico de Vallecas,451114.21457187977,4465384.024161489,2021-01-01
VICÁLVARO,40.386389,-3.575556,MEDIO AMBIENTE,14219936.97,2021,Casco Histórico de Vicálvaro,451148.61130450055,4470803.03778882,2021-01-01
BARAJAS,40.47234488,-3.57624752,URBANISMO,2350093.0,2021,Casco Histórico de Barajas,451152.1489775117,4480344.4696436,2021-01-01
CHAMARTÍN,40.4405527387017,-3.68063098371106,URBANISMO,10620000.0,2021,El Viso,442276.4167509176,4476878.532113692,2021-01-01
VILLA DE VALLECAS,40.336444,-3.577083,MEDIO AMBIENTE,33886530.0,2021,Casco Histórico de Vallecas,450982.8418714711,4465260.082937777,2021-01-01
VICÁLVARO,40.3772222,-3.57972222222222,URBANISMO,14842159.12,2021,Casco Histórico de Vicálvaro,450788.3232476364,4469787.846888726,2021-01-01
VILLA DE VALLECAS,40.3357619479031,-3.58366199184827,MEDIO AMBIENTE,9118575.66,2021,Casco Histórico de Vallecas,450423.5230495748,4465188.040806334,2021-01-01
VILLA DE VALLECAS,40.33552477,-3.58243889,MEDIO AMBIENTE,5608350.0,2021,Casco Histórico de Vallecas,450527.2411601053,4465161.03030259,2021-01-01
VILLA DE VALLECAS,40.3597278,-3.5890154,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",2984098.0,2021,Ensanche de Vallecas,449986.5056918785,4467851.211394976,2021-01-01
VILLA DE VALLECAS,40.365205725985504,-3.59414922312284,MEDIO AMBIENTE,3816995.0,2021,Ensanche de Vallecas,449554.6720952407,4468462.165924681,2021-01-01
VILLA DE VALLECAS,40.359382,-3.595714,EDUCACIÓN,3317849.92,2021,Ensanche de Vallecas,449417.4635525942,4467816.636498998,2021-01-01
