Barrio,anyo,Indicador,valor_indicador
LOS ANGELES,2019,num_hosteleria,102.0
OPAÑEL,2019,num_hosteleria,161.0
EL PLANTIO,2019,num_hosteleria,43.0
NUMANCIA,2019,num_hosteleria,198.0
VALDEACEDERAS,2019,num_hosteleria,97.0
SANTA EUGENIA,2019,num_hosteleria,60.0
ESTRELLA,2019,num_hosteleria,47.0
CASCO H.VALLECAS,2019,num_hosteleria,201.0
VINATEROS,2019,num_hosteleria,32.0
CORRALEJOS,2019,num_hosteleria,54.0
APOSTOL SANTIAGO,2019,num_hosteleria,46.0
VALDERRIVAS,2019,num_hosteleria,16.0
ACACIAS,2019,num_hosteleria,173.0
COLINA,2019,num_hosteleria,31.0
NUEVA ESPAÑA,2019,num_hosteleria,148.0
DELICIAS,2019,num_hosteleria,141.0
RECOLETOS,2019,num_hosteleria,265.0
VALVERDE,2019,num_hosteleria,309.0
EL GOLOSO,2019,num_hosteleria,102.0
PUERTA BONITA,2019,num_hosteleria,118.0
NIÑO JESUS,2019,num_hosteleria,68.0
SIMANCAS,2019,num_hosteleria,214.0
SAN FERMIN,2019,num_hosteleria,65.0
MEDIA LEGUA,2019,num_hosteleria,51.0
UNIVERSIDAD,2019,num_hosteleria,648.0
MIRASIERRA,2019,num_hosteleria,71.0
CUATRO CAMINOS,2019,num_hosteleria,356.0
IMPERIAL,2019,num_hosteleria,119.0
REJAS,2019,num_hosteleria,102.0
VALDEMARIN,2019,num_hosteleria,38.0
ARGUELLES,2019,num_hosteleria,252.0
EL PILAR,2019,num_hosteleria,244.0
EMBAJADORES,2019,num_hosteleria,525.0
CASTILLEJOS,2019,num_hosteleria,254.0
PAVONES,2020,num_hosteleria,23.0
CASCO H.BARAJAS,2020,num_hosteleria,91.0
BUTARQUE,2020,num_hosteleria,54.0
ALMENDRALES,2020,num_hosteleria,122.0
TRAFALGAR,2020,num_hosteleria,325.0
PALOS DE LA FRONTERA,2020,num_hosteleria,0.0
PALOS DE MOGUER,2020,num_hosteleria,219.0
VALDEFUENTES,2020,num_hosteleria,152.0
MOSCARDO,2020,num_hosteleria,156.0
LOS ROSALES,2020,num_hosteleria,142.0
PRADOLONGO,2020,num_hosteleria,120.0
VENTAS,2020,num_hosteleria,195.0
LOS JERONIMOS,2020,num_hosteleria,96.0
AEROPUERTO,2020,num_hosteleria,88.0
VISTA ALEGRE,2020,num_hosteleria,316.0
ORCASITAS,2020,num_hosteleria,59.0
LEGAZPI,2020,num_hosteleria,98.0
SAN DIEGO,2020,num_hosteleria,217.0
FUENTELARREINA,2020,num_hosteleria,3.0
EL PARDO,2020,num_hosteleria,41.0
ADELFAS,2020,num_hosteleria,63.0
CAMPAMENTO,2020,num_hosteleria,56.0
LA PAZ,2020,num_hosteleria,98.0
ENTREVIAS,2020,num_hosteleria,147.0
CASCO H.VICALVARO,2020,num_hosteleria,153.0
PROSPERIDAD,2020,num_hosteleria,226.0
BERRUGUETE,2020,num_hosteleria,110.0
ALMAGRO,2020,num_hosteleria,257.0
LOS CARMENES,2020,num_hosteleria,60.0
LUCERO,2020,num_hosteleria,141.0
GAZTAMBIDE,2020,num_hosteleria,247.0
COSTILLARES,2020,num_hosteleria,67.0
ARAPILES,2020,num_hosteleria,190.0
SAN ANDRES,2020,num_hosteleria,210.0
CUATRO VIENTOS,2020,num_hosteleria,15.0
ROSAS,2020,num_hosteleria,219.0
TIMON,2020,num_hosteleria,57.0
PEÑAGRANDE,2020,num_hosteleria,0.0
SAN CRISTOBAL,2020,num_hosteleria,56.0
PALOMERAS SURESTE,2020,num_hosteleria,145.0
CORTES,2020,num_hosteleria,478.0
CANILLAS,2020,num_hosteleria,178.0
ATALAYA,2020,num_hosteleria,5.0
PORTAZGO,2020,num_hosteleria,123.0
FONTARRON,2020,num_hosteleria,43.0
CONCEPCION,2020,num_hosteleria,153.0
ARAVACA,2020,num_hosteleria,81.0
PEÑA GRANDE,2020,num_hosteleria,120.0
HORCAJO,2020,num_hosteleria,12.0
ABRANTES,2020,num_hosteleria,106.0
ALUCHE,2020,num_hosteleria,308.0
