Barrio,anyo,anyo_timestamp,Indicador,valor_indicador
Ángeles,2021,2021-01-01,Inversion,0.0
Abrantes,2022,2022-01-01,Inversion,0.0
Acacias,2022,2022-01-01,Inversion,1240971.99
Adelfas,2022,2022-01-01,Inversion,18980000.0
Aeropuerto,2022,2022-01-01,Inversion,148414337.48999998
Alameda de Osuna,2022,2022-01-01,Inversion,6356545.99
Almagro,2022,2022-01-01,Inversion,0.0
Almenara,2022,2022-01-01,Inversion,3629943.96
Almendrales,2022,2022-01-01,Inversion,0.0
Aluche,2022,2022-01-01,Inversion,0.0
Amposta,2022,2022-01-01,Inversion,2955718.56
Apóstol Santiago,2022,2022-01-01,Inversion,0.0
Arapiles,2022,2022-01-01,Inversion,4834596.5
Aravaca,2022,2022-01-01,Inversion,2948674.54
Arcos,2022,2022-01-01,Inversion,4395290.43
Argüelles,2022,2022-01-01,Inversion,0.0
Atalaya,2022,2022-01-01,Inversion,0.0
Atocha,2022,2022-01-01,Inversion,0.0
Bellas Vistas,2022,2022-01-01,Inversion,0.0
Berruguete,2022,2022-01-01,Inversion,4500000.0
Buenavista,2022,2022-01-01,Inversion,35197651.099999994
Butarque,2022,2022-01-01,Inversion,12002237.58
Campamento,2022,2022-01-01,Inversion,0.0
Canillas,2022,2022-01-01,Inversion,1851784.67
Canillejas,2022,2022-01-01,Inversion,0.0
Casa de Campo,2022,2022-01-01,Inversion,23172753.4
Casco Histórico de Barajas,2022,2022-01-01,Inversion,10680177.45
Casco Histórico de Vallecas,2022,2022-01-01,Inversion,136400040.95999998
Casco Histórico de Vicálvaro,2022,2022-01-01,Inversion,0.0
Castellana,2022,2022-01-01,Inversion,4111605.7
Castilla,2022,2022-01-01,Inversion,3559967.96
Castillejos,2022,2022-01-01,Inversion,0.0
Chopera,2022,2022-01-01,Inversion,6849413.0
Ciudad Jardín,2022,2022-01-01,Inversion,0.0
Ciudad Universitaria,2022,2022-01-01,Inversion,3209931.32
Colina,2022,2022-01-01,Inversion,0.0
Comillas,2022,2022-01-01,Inversion,8089833.0
Corralejos,2022,2022-01-01,Inversion,0.0
Cortes,2022,2022-01-01,Inversion,28970839.25
Costillares,2022,2022-01-01,Inversion,0.0
Cuatro Caminos,2022,2022-01-01,Inversion,11146000.0
Cuatro Vientos,2022,2022-01-01,Inversion,0.0
Delicias,2022,2022-01-01,Inversion,0.0
El Cañaveral,2022,2022-01-01,Inversion,178960637.73
El Goloso,2022,2022-01-01,Inversion,7744494.65
El Pardo,2022,2022-01-01,Inversion,0.0
El Plantío,2022,2022-01-01,Inversion,2305750.42
El Salvador,2022,2022-01-01,Inversion,0.0
El Viso,2022,2022-01-01,Inversion,18478964.3
Embajadores,2022,2022-01-01,Inversion,2712440.5
Ensanche de Vallecas,2022,2022-01-01,Inversion,34710230.510000005
Entrevías,2022,2022-01-01,Inversion,30885421.67
Estrella,2022,2022-01-01,Inversion,0.0
Fontarrón,2022,2022-01-01,Inversion,0.0
Fuente del Berro,2022,2022-01-01,Inversion,0.0
Fuentelarreina,2022,2022-01-01,Inversion,0.0
Gaztambide,2022,2022-01-01,Inversion,0.0
Goya,2022,2022-01-01,Inversion,2629606.88
Guindalera,2022,2022-01-01,Inversion,15335880.73
Hellín,2022,2022-01-01,Inversion,6705833.41
Hispanoamérica,2022,2022-01-01,Inversion,0.0
Horcajo,2022,2022-01-01,Inversion,0.0
Ibiza,2022,2022-01-01,Inversion,0.0
Imperial,2022,2022-01-01,Inversion,63384413.45
Justicia,2022,2022-01-01,Inversion,2830796.0
La Concepción,2022,2022-01-01,Inversion,1050000.0
La Paz,2022,2022-01-01,Inversion,17773000.0
Legazpi,2022,2022-01-01,Inversion,16989385.060000002
Lista,2022,2022-01-01,Inversion,0.0
Los Cármenes,2022,2022-01-01,Inversion,0.0
Los Jerónimos,2022,2022-01-01,Inversion,0.0
Los Rosales,2022,2022-01-01,Inversion,13526313.79
Lucero,2022,2022-01-01,Inversion,8210000.0
Marroquina,2022,2022-01-01,Inversion,2000000.0
Media Legua,2022,2022-01-01,Inversion,0.0
Mirasierra,2022,2022-01-01,Inversion,12475319.88
Moscardó,2022,2022-01-01,Inversion,0.0
Niño Jesús,2022,2022-01-01,Inversion,0.0
Nueva España,2022,2022-01-01,Inversion,3576131.0
Numancia,2022,2022-01-01,Inversion,6050987.57
Opañel,2022,2022-01-01,Inversion,0.0
Orcasitas,2022,2022-01-01,Inversion,3536005.85
Orcasur,2022,2022-01-01,Inversion,5300000.0
Pacífico,2022,2022-01-01,Inversion,32175799.64
Palacio,2022,2022-01-01,Inversion,1617005.68
Palomas,2022,2022-01-01,Inversion,0.0
Palomeras Bajas,2022,2022-01-01,Inversion,24744289.76
Palomeras Sureste,2022,2022-01-01,Inversion,0.0
Palos de la Frontera,2022,2022-01-01,Inversion,0.0
Pavones,2022,2022-01-01,Inversion,2350000.0
Peñagrande,2022,2022-01-01,Inversion,0.0
Pilar,2022,2022-01-01,Inversion,0.0
Pinar del Rey,2022,2022-01-01,Inversion,0.0
Piovera,2022,2022-01-01,Inversion,1200000.0
Portazgo,2022,2022-01-01,Inversion,0.0
Pradolongo,2022,2022-01-01,Inversion,3000971.99
Prosperidad,2022,2022-01-01,Inversion,0.0
Pueblo Nuevo,2022,2022-01-01,Inversion,4187877.45
Puerta Bonita,2022,2022-01-01,Inversion,0.0
Puerta del Ángel,2022,2022-01-01,Inversion,0.0
Quintana,2022,2022-01-01,Inversion,0.0
Recoletos,2022,2022-01-01,Inversion,6520496.5
Rejas,2022,2022-01-01,Inversion,0.0
Rosas,2022,2022-01-01,Inversion,0.0
Ríos Rosas,2022,2022-01-01,Inversion,0.0
San Cristóbal,2022,2022-01-01,Inversion,0.0
San Diego,2022,2022-01-01,Inversion,55752511.8
San Fermín,2022,2022-01-01,Inversion,0.0
San Isidro,2022,2022-01-01,Inversion,3222990.54
San Juan Bautista,2022,2022-01-01,Inversion,0.0
San Pascual,2022,2022-01-01,Inversion,9068037.35
Santa Eugenia,2022,2022-01-01,Inversion,2703696.15
Simancas,2022,2022-01-01,Inversion,0.0
