Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado ;Importe 2023 (quito formato punto);Importe 2024;Importe 2025;Importe 2026;Resto Anualidades;Total previsto;Estado;Observaciones;Url_fotografia;Fecha de los datos
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/000437;BORDE FORESTAL DE ORCASITAS. EJECUCIÓN DEL BOSQUE METROPOLITANO;2021;2024;;212;USERA;BORDE FORESTAL DE ORCASITAS;;BORDE FORESTAL DE ORCASITAS;;4.036.457.818;-371.745.381;06;URBANISMO;2220249,51;848866,03;750000;;;;3819115,54;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/000439;CUÑA ARROYO DEL FRESNO. EJECUCIÓN DE BOSQUE METROPOLITANO;2022;2023;;208;FUENCARRAL-EL PARDO;C/ LILÍ ÁLVAREZ C.V. GABRIELA MISTRAL  ;CALLE;LILI ALVAREZ C/V GABRIELA MISTRAL;;4.048.344.430.433.370;-37.371.622.180.888.400;06;URBANISMO;839564,81;1877000;;;;;2716564,81;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/000440;CUÑA NORTE DE O´DONNELL. EJECUCIÓN DEL BOSQUE METROPOLITANO;2021;2023;;215;CIUDAD LINEAL;CUÑA NORTE DE O´DONELL;;CUÑA NORTE DE O´DONELL;;404.156.699;-362.947.201;06;URBANISMO;5422844,96;3427718,43;;;;;8850563,39;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/001483;PARCELAS ÁMBITO VALDEGRULLA Y PARAJE VALDESENDERÍN. DESESCOMBRO Y RENATURALIZACIÓN;2021;2023;;208;FUENCARRAL-EL PARDO;M603 C.V. AV. MONTE DE VALDELATAS ;;M603 C/V AV. MONTE DE VALDELATAS;;4.051.908.561.970.680;-3.667.892.213.325.620;06;URBANISMO;2151889,44;2549040,53;;;;;4700929,97;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2022/001605;ÁMBITO CASTILLO DE LA ALAMEDA. OBRAS DE RENATURALIZACIÓN;2022;2023;;221;BARAJAS;C/ Manuel Aguilar Muñoz c.v Antonio Sancha c.v.Joaquín Ibarra;CALLES;DE MANUEL AGUILAR MUÑOZ C/V ANTONIO SANCHA Y JOAQUÍN IBARRA;;4.045.987.729.999.410;-3.592.380.701.850.930;06;URBANISMO;4718;1494535,84;;;;;1499253,84;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2022/001647;C/ SOLEDAD CAZORLA. ACTUACIONES DE RENATURALIZACIÓN;2022;2023;2023;210;LATINA;C/ Soledad Cazorla 20;CALLE;DE SOLEDAD CAZORLA;20;4.037.554.181.475.530;-37.713.808.134.924.500;06;URBANISMO;60352,96;1848859,98;;;;;1909212,94;FINALIZADO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2023/2023_2022-001647_SoledadCazorlaRenaturalizacion.jpg;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001014;CAMPO DE FÚTBOL EN ARAVACA, C/ESCULTOR PERESEJO, BOSQUE METROPOLITANO. CONSTRUCCIÓN;2024;2025;;209;MONCLOA-ARAVACA;C/ Escultor Peresejo 94;CALLE;DEL ESCULTOR PERESEJO;94;40.452.722.372.430.600;-3.791.872.894.861.590;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;;;1500000;;;1500000;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001016;ÁMBITO DE LA CUÑA VERDE DE O´DONNELL SUR. EJECUCIÓN DEL BOSQUE METROPOLITANO;2023;2024;;214;MORATALAZ;C/ ARROYO DE LA MEDIA LEGUA C.V. M23  ;CALLE;ARROYO DE VLA MEDIA LEGUA C/V M-23;;40.414.187.570.960.000;-3.649.254.368.392.700;06;URBANISMO;;20766,33;1300000;;;;1320766,33;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/003004;CAMPOS DE FÚTBOL EN VALDEBEBAS (INSTALACIONES SOTENIBLES). CONSTRUCCIÓN (ID 21: 17695);2023;2024;;216;HORTALEZA;C/ Félix Candela c.v. Luis Moya Blanco c.v Josefina Aldecoa;CALLES;DE FÉLIX CANDELA C/V LUIS MOYA BLANCO Y JOSEFINA ALDECOA;;40.497.327;-3.615.194;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;;1800000;;;;1800000;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;2016;2025;;219;VICÁLVARO;INICIO DEL CAUCE DEL ARROYO EN ÁMBITO UZPP 2.04 LOS BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;4.037.320.354.825.460;-35.599.462.399.323.700;09;MEDIO AMBIENTE;109768,77;4388429,75;300000;500000;;;5298198,52;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
